id,gender,city,year,group_size,tom,bumo,bumo_previous,most_favourite,age,age_group,age_sub_group,mpi,mpi_detail,mpi_mean,occupation,occupation_group,cluster,most_favourite_group,cluster_name
344639,Female,Cần Thơ,2018,2.0,Highlands Coffee,Highlands Coffee,Refuse,Highlands Coffee,25.0,20 - 29,25 - 29,< 4.5, 3  - 4.49  ,3749.0,Lecturer / Teacher,Professional,2,Major Chains,Experience Enthusiasts
344641,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,32.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
344642,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,< 4.5, 3  - 4.49  ,3749.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,3,Other,Quality-First Consumers
344643,Female,Cần Thơ,2018,2.0,Other 1,Other 2,Refuse,Other 2,32.0,30 - 39,30 - 34,< 4.5, 3  - 4.49  ,3749.0,Civil servant - Staff level,Office Worker,3,Other,Quality-First Consumers
344644,Male,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,17.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
345343,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
345853,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,41.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Major Chains,Routine Consumers
345938,Male,Hồ Chí Minh,2018,1.0,Trung Nguyên,Street / Half street coffee (including carts),Refuse,Trung Nguyên,58.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Retirement,Non-working,0,Major Chains,Routine Consumers
346076,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Phúc Long,41.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Major Chains,Routine Consumers
346249,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Other 2,Other 1,25.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
346359,Female,Cần Thơ,2018,5.0,Other 1,Other 1,Refuse,Other 1,23.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,2,Other,Experience Enthusiasts
346366,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
346725,Male,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,18.0,16 - 19,16 - 19,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
346833,Male,Cần Thơ,2018,5.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Lecturer / Teacher,Professional,1,Other,Social Seekers
346924,Male,Cần Thơ,2018,3.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,24.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Seekers
346925,Female,Cần Thơ,2018,5.0,Other 1,Other 2,Refuse,Other 2,22.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,2,Other,Experience Enthusiasts
347591,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 3,26.0,20 - 29,25 - 29,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
347592,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,19.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
347593,Male,Cần Thơ,2018,5.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,23.0,20 - 29,20 - 24,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Semi-skilled labor (salesperson, waiter, photographer)",Service & Agriculture,1,Other,Social Seekers
347594,Male,Cần Thơ,2018,4.0,Other 1,Other 2,Street / Half street coffee (including carts),Other 2,33.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
348220,Female,Cần Thơ,2018,2.0,Other 1,Other 2,Refuse,Other 2,46.0,40 - 60,45+,25+, 15  - 19.99  ,17499.0,Housewife,Non-working,0,Other,Routine Consumers
348221,Male,Cần Thơ,2018,3.0,Other 1,Other 1,Refuse,Other 1,26.0,20 - 29,25 - 29,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Other,Quality-First Consumers
348222,Female,Cần Thơ,2018,2.0,Other 1,Other 2,Other 1,Other 1,45.0,40 - 60,45+,9 - 14.9, 9  - 11.99  ,10499.0,Housewife,Non-working,0,Other,Routine Consumers
348223,Male,Cần Thơ,2018,3.0,Other 1,Other 2,Refuse,Other 2,28.0,20 - 29,25 - 29,25+, 15  - 19.99  ,17499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Other,Quality-First Consumers
348224,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,9 - 14.9, 9  - 11.99  ,10499.0,Broker/ Service provider with no employee,Self Employed,3,Other,Quality-First Consumers
348225,Male,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,27.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
348226,Female,Cần Thơ,2018,3.0,Other 1,Other 1,Refuse,Other 1,29.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
348305,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Other 2,Other 1,58.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Other,Routine Consumers
348306,Female,Cần Thơ,2018,3.0,Other 1,Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),42.0,40 - 60,40 - 44,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,0,Street,Routine Consumers
348307,Male,Cần Thơ,2018,1.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,1,Other,Social Seekers
348308,Female,Cần Thơ,2018,3.0,Other 1,Other 1,Refuse,Other 1,50.0,40 - 60,45+,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,0,Other,Routine Consumers
348309,Male,Cần Thơ,2018,1.0,Other 1,Other 1,Refuse,Other 1,35.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
348310,Female,Cần Thơ,2018,2.0,Street / Half street coffee (including carts),Other 1,Refuse,Other 1,40.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
348311,Female,Cần Thơ,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),44.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Street,Routine Consumers
348312,Male,Cần Thơ,2018,3.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,24.0,20 - 29,20 - 24,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
348321,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,40.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,1,Other,Social Seekers
348322,Female,Cần Thơ,2018,2.0,Other 1,Other 1,Refuse,Other 1,23.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
348327,Male,Cần Thơ,2018,4.0,Other 1,Other 1,Refuse,Other 1,58.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,0,Other,Routine Consumers
348328,Female,Cần Thơ,2018,5.0,Other 1,Other 1,Refuse,Other 1,28.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Lecturer / Teacher,Professional,1,Other,Social Seekers
348398,Male,Cần Thơ,2018,2.0,Other 1,Other 2,Street / Half street coffee (including carts),Other 2,36.0,30 - 39,35 - 39,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,1,Other,Social Seekers
348399,Female,Cần Thơ,2018,4.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,48.0,40 - 60,45+,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Housewife,Non-working,0,Other,Routine Consumers
348400,Female,Cần Thơ,2018,3.0,Other 1,Other 1,Street / Half street coffee (including carts),Trung Nguyên,37.0,30 - 39,35 - 39,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
348401,Male,Cần Thơ,2018,3.0,Other 1,Other 1,Other 2,Other 1,39.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Other,Quality-First Consumers
348403,Female,Hồ Chí Minh,2018,4.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,53.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
349532,Female,Hồ Chí Minh,2018,5.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,16.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
349551,Male,Hồ Chí Minh,2018,6.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,30.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
349552,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,45.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Major Chains,Routine Consumers
349553,Female,Hồ Chí Minh,2018,7.0,Street / Half street coffee (including carts),Other 1,Street / Half street coffee (including carts),Phúc Long,16.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
349764,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),46.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Street,Routine Consumers
349874,Male,Hồ Chí Minh,2018,3.0,Trung Nguyên,Trung Nguyên,Refuse,Trung Nguyên,44.0,40 - 60,40 - 44,9 - 14.9, 9  - 11.99  ,10499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
349957,Male,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,34.0,30 - 39,30 - 34,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
350072,Male,Hồ Chí Minh,2018,5.0,Street / Half street coffee (including carts),Other 1,Street / Half street coffee (including carts),Other 1,19.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
350090,Male,Hồ Chí Minh,2018,1.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),51.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Street,Routine Consumers
350141,Female,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Mộc Miên,52.0,40 - 60,45+,9 - 14.9, 9  - 11.99  ,10499.0,Housewife,Non-working,0,Other,Routine Consumers
350148,Female,Hồ Chí Minh,2018,6.0,Trung Nguyên,Trung Nguyên,Refuse,Trung Nguyên,42.0,40 - 60,40 - 44,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,0,Major Chains,Routine Consumers
350491,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Passio,26.0,20 - 29,25 - 29,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,2,Other,Experience Enthusiasts
350576,Female,Hồ Chí Minh,2018,5.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Starbucks,Starbucks,30.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
350723,Male,Hồ Chí Minh,2018,4.0,Trung Nguyên,The Coffee House,Refuse,Trung Nguyên,38.0,30 - 39,35 - 39,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
350822,Male,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Milano,35.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,3,Other,Quality-First Consumers
351103,Female,Hồ Chí Minh,2018,3.0,Trung Nguyên,Urban Station,Refuse,Urban Station,18.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
351104,Female,Hồ Chí Minh,2018,2.0,Phúc Long,Phúc Long,Urban Station,Phúc Long,23.0,20 - 29,20 - 24,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
351105,Male,Hồ Chí Minh,2018,2.0,Trung Nguyên,Street / Half street coffee (including carts),Other 1,Trung Nguyên,56.0,40 - 60,45+,< 4.5,0 - 2.99  ,1499.0,Retirement,Non-working,0,Major Chains,Routine Consumers
351106,Female,Hồ Chí Minh,2018,1.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Other 1,41.0,40 - 60,40 - 44,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Other,Routine Consumers
351107,Female,Hồ Chí Minh,2018,1.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,50.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,0,Major Chains,Routine Consumers
351108,Female,Hồ Chí Minh,2018,3.0,Highlands Coffee,Street / Half street coffee (including carts),Other 1,The Coffee House,28.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Officer - Staff level,Office Worker,1,Major Chains,Social Seekers
351109,Female,Hồ Chí Minh,2018,1.0,Viva Star,Street / Half street coffee (including carts),Refuse,Viva Star,44.0,40 - 60,40 - 44,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,0,Other,Routine Consumers
351110,Male,Hồ Chí Minh,2018,4.0,Viva Star,Viva Star,Street / Half street coffee (including carts),Viva Star,38.0,30 - 39,35 - 39,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
351111,Male,Hồ Chí Minh,2018,3.0,Trung Nguyên,Street / Half street coffee (including carts),Refuse,Viva Star,34.0,30 - 39,30 - 34,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
351112,Female,Hồ Chí Minh,2018,4.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,54.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
351113,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Other 1,Refuse,Trung Nguyên,44.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,0,Major Chains,Routine Consumers
351114,Male,Hồ Chí Minh,2018,4.0,Milano,Milano,Refuse,Milano,27.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
351115,Male,Hồ Chí Minh,2018,4.0,Other 2,Street / Half street coffee (including carts),Refuse,Highlands Coffee,40.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Professional (doctor, engineer, architect, nursing staff, lawyer, researcher, etc.)",Professional,1,Major Chains,Social Seekers
351116,Female,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,47.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Broker/ Service provider with no employee,Self Employed,0,Major Chains,Routine Consumers
351117,Female,Hồ Chí Minh,2018,1.0,Street / Half street coffee (including carts),Other 1,Street / Half street coffee (including carts),Trung Nguyên,49.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Major Chains,Routine Consumers
351651,Male,Hồ Chí Minh,2018,3.0,Trung Nguyên,Other 1,Refuse,Viva Star,40.0,40 - 60,40 - 44,9 - 14.9, 9  - 11.99  ,10499.0,Broker/ Service provider with no employee,Self Employed,3,Other,Quality-First Consumers
351905,Male,Hồ Chí Minh,2018,4.0,Other 1,Other 1,Refuse,Other 2,50.0,40 - 60,45+,4.5 - 8.9, 6.5  - 7.49  ,6999.0,Broker/ Service provider with no employee,Self Employed,0,Other,Routine Consumers
352059,Male,Hồ Chí Minh,2018,2.0,Other 1,Other 1,Refuse,Other 1,36.0,30 - 39,35 - 39,25+, 20  - 24.99  ,22499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Other,Quality-First Consumers
352060,Male,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,37.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Major Chains,Quality-First Consumers
352980,Female,Hồ Chí Minh,2018,5.0,Highlands Coffee,Highlands Coffee,Street / Half street coffee (including carts),Highlands Coffee,35.0,30 - 39,35 - 39,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
352981,Female,Hồ Chí Minh,2018,5.0,Phúc Long,Street / Half street coffee (including carts),Refuse,Phúc Long,16.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
352983,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,48.0,40 - 60,45+,< 4.5,0 - 2.99  ,1499.0,Housewife,Non-working,0,Major Chains,Routine Consumers
352984,Male,Hồ Chí Minh,2018,3.0,Highlands Coffee,Highlands Coffee,Street / Half street coffee (including carts),Highlands Coffee,27.0,20 - 29,25 - 29,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
353154,Female,Hồ Chí Minh,2018,3.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),53.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Street,Routine Consumers
353396,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,48.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,0,Major Chains,Routine Consumers
353397,Male,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Street / Half street coffee (including carts),59.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,"Small Business (small shop owner, grocery store, etc.)",Self Employed,0,Street,Routine Consumers
353398,Female,Hồ Chí Minh,2018,4.0,Other 1,Street / Half street coffee (including carts),Refuse,Other 1,46.0,40 - 60,45+,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,0,Other,Routine Consumers
353401,Female,Hồ Chí Minh,2018,5.0,Other 1,Other 1,Refuse,Other 1,33.0,30 - 39,30 - 34,4.5 - 8.9, 7.5  - 8.99  ,8249.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Other,Social Seekers
353417,Male,Hồ Chí Minh,2018,7.0,Other 1,Other 1,Street / Half street coffee (including carts),Other 1,21.0,20 - 29,20 - 24,< 4.5, 3  - 4.49  ,3749.0,Pupil / Student,Student,2,Other,Experience Enthusiasts
353418,Female,Hồ Chí Minh,2018,4.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Other 1,40.0,40 - 60,40 - 44,4.5 - 8.9, 4.5  - 6.49  ,5499.0,Housewife,Non-working,0,Other,Routine Consumers
353618,Female,Hồ Chí Minh,2018,3.0,The Coffee House,The Coffee House,Refuse,The Coffee House,33.0,30 - 39,30 - 34,25+, 15  - 19.99  ,17499.0,Officer - Staff level,Office Worker,3,Major Chains,Quality-First Consumers
353619,Male,Hồ Chí Minh,2018,3.0,Other 1,Other 1,Refuse,Other 1,39.0,30 - 39,35 - 39,4.5 - 8.9, 7.5  - 8.99  ,8249.0,Officer - Staff level,Office Worker,1,Other,Social Seekers
353620,Male,Hồ Chí Minh,2018,2.0,Other 1,The Coffee House,Refuse,Highlands Coffee,25.0,20 - 29,25 - 29,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,1,Major Chains,Social Seekers
353621,Female,Hồ Chí Minh,2018,2.0,Other 1,Milano,Refuse,Milano,36.0,30 - 39,35 - 39,9 - 14.9, 9  - 11.99  ,10499.0,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,3,Other,Quality-First Consumers
353622,Male,Hồ Chí Minh,2018,2.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Refuse,Trung Nguyên,60.0,40 - 60,45+,4.5 - 8.9, 4.5  - 6.49  ,5499.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Major Chains,Routine Consumers
353623,Female,Hồ Chí Minh,2018,4.0,Phúc Long,Phúc Long,Refuse,Phúc Long,31.0,30 - 39,30 - 34,< 4.5, 3  - 4.49  ,3749.0,Housewife,Non-working,2,Major Chains,Experience Enthusiasts
355530,Male,Hồ Chí Minh,2018,3.0,Phúc Long,Phúc Long,Refuse,Phúc Long,18.0,16 - 19,16 - 19,< 4.5,0 - 2.99  ,1499.0,Pupil / Student,Student,2,Major Chains,Experience Enthusiasts
356847,Male,Cần Thơ,2018,3.0,Other 1,Other 2,Refuse,Other 2,42.0,40 - 60,40 - 44,4.5 - 8.9, 6.5  - 7.49  ,6999.0,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Service & Agriculture,0,Other,Routine Consumers
