id,city,year,needstates,day_daypart,needstate_group,matched_attribute
344636,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
344638,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344638,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344638,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
344639,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344639,Cần Thơ,2018,Have snack / pastry,Overall,Meals & Snack,Good food
344639,Cần Thơ,2018,Have snack / pastry,Overall,Meals & Snack,Varied menu
344639,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344641,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
344641,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
344641,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344641,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344642,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344642,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344643,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
344643,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
344644,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
344644,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
344644,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
345343,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
345343,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
345343,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
345853,Hồ Chí Minh,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
345853,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
345853,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
345853,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
345938,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
345938,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
346076,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
346076,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346076,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
346249,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
346249,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346359,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
346359,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346359,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
346366,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346366,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
346725,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346833,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
346833,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
346833,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
346833,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
346833,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
346833,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346833,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
346833,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
346924,Cần Thơ,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Good food
346924,Cần Thơ,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Varied menu
346924,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346924,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
346924,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
346924,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
346924,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
346924,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
346925,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
346925,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
346925,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
346925,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
346925,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
347591,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
347591,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
347591,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
347591,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
347591,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
347592,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
347592,Cần Thơ,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Good food
347592,Cần Thơ,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Varied menu
347592,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
347592,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
347592,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
347592,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
347592,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
347592,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
347593,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
347593,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
347593,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
347593,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
347593,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
347593,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
347594,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
347594,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
347594,Cần Thơ,2018,Drinking tea,Overall,Drinking beverages,Good tea
347594,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
347594,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
347594,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348220,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
348220,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348220,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348221,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348221,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348221,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348222,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348222,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348222,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348223,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
348223,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
348223,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
348223,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348223,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348223,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348224,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348224,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348224,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348224,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
348224,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348225,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348225,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348226,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348226,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348226,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
348305,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348305,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348306,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348306,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348307,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
348307,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
348307,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
348307,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
348308,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348308,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348309,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
348309,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
348309,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
348309,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
348309,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
348309,Cần Thơ,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
348309,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348310,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348311,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348312,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348312,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348321,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348321,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
348321,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
348321,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348322,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
348322,Cần Thơ,2018,Studying / Reading books,Overall,Studying & Others,Work/study friendly
348322,Cần Thơ,2018,Studying / Reading books,Overall,Studying & Others,Study-friendly place
348322,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
348322,Cần Thơ,2018,Entertainment,Overall,Relaxing & entertainment,Good music
348327,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348327,Cần Thơ,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
348328,Cần Thơ,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348328,Cần Thơ,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
348328,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348398,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348398,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348398,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348399,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348399,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348400,Cần Thơ,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348401,Cần Thơ,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
348401,Cần Thơ,2018,Socializing with friends,Overall,Socializing,Friends hangout place
348403,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
348403,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
348403,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349532,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349532,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349532,Hồ Chí Minh,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
349532,Hồ Chí Minh,2018,Entertainment,Overall,Relaxing & entertainment,Good music
349551,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349551,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
349551,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
349551,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349552,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
349552,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
349552,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349552,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
349553,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349553,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349553,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
349764,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349764,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
349764,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349874,Hồ Chí Minh,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
349874,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
349874,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
349874,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349957,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
349957,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
349957,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
349957,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
350072,Hồ Chí Minh,2018,Entertainment,Overall,Relaxing & entertainment,Fast internet
350072,Hồ Chí Minh,2018,Entertainment,Overall,Relaxing & entertainment,Good music
350072,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
350072,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
350090,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
350090,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
350090,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
350090,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
350090,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
350141,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
350141,Hồ Chí Minh,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Good food
350141,Hồ Chí Minh,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Varied menu
350141,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
350148,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
350148,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
350148,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
350491,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
350491,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
350491,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
350576,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
350576,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
350723,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
350723,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
350723,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
350822,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
350822,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351103,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
351103,Hồ Chí Minh,2018,Drinking tea,Overall,Drinking beverages,Good tea
351104,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
351104,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351104,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
351104,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
351104,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
351104,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
351105,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351105,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351106,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351107,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351108,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
351108,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351109,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351110,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351110,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351111,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
351111,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351112,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351112,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
351113,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
351113,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351114,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
351114,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351115,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351116,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351116,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351117,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
351117,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
351117,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
351117,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
351117,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351651,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
351651,Hồ Chí Minh,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
351651,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351905,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
351905,Hồ Chí Minh,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
351905,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Relaxing place
351905,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Comfortable environment
351905,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Good music
351905,Hồ Chí Minh,2018,Relaxing (Alone),Overall,Relaxing & entertainment,Sense of belonging
351905,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
352059,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
352059,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
352060,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
352060,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
352060,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
352980,Hồ Chí Minh,2018,Socializing with colleagues,Overall,Socializing,Colleague meeting place
352980,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
352980,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
352981,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
352981,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
352981,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
352983,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
352983,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
352983,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
352984,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
352984,Hồ Chí Minh,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Good food
352984,Hồ Chí Minh,2018,Have meals (breakfast / lunch / dinner),Overall,Meals & Snack,Varied menu
352984,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
352984,Hồ Chí Minh,2018,Working / Business meeting,Overall,Working & business meeting,Business meeting place
352984,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
353154,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
353154,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
353154,Hồ Chí Minh,2018,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Good other beverages
353154,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
353396,Hồ Chí Minh,2018,Socializing with family / relatives,Overall,Socializing,Family-friendly place
353396,Hồ Chí Minh,2018,Drinking coffee,Overall,Drinking beverages,Good coffee
353396,Hồ Chí Minh,2018,Socializing with friends,Overall,Socializing,Friends hangout place
