ID,Year,City,Awareness,Attribute,BrandImage
827245,2019,Hồ Chí Minh,Milano,Good place for socializing with family,Milano
845854,2019,Cần Thơ,Other,Comfortable and relaxing environment,Other
135555,2017,Hà Nội,Trung Nguyên,Friendly staff,Trung Nguyên
95193,2017,Hồ Chí Minh,Gong Cha,Good tea taste,Gong Cha
837390,2019,Hồ Chí Minh,Highlands Coffee,Popular brand,Highlands Coffee
134485,2017,Hà Nội,Street / Half street coffee (including carts),Feel I belong here,Street / Half street coffee (including carts)
138740,2017,Hồ Chí Minh,Starbucks,Good value for money,Starbucks
136314,2017,Đà Nẵng,Highlands Coffee,Popular brand,Highlands Coffee
366767,2018,Đà Nẵng,Highlands Coffee,Nice environment design,Highlands Coffee
132406,2017,Cần Thơ,Highlands Coffee,Clean,Highlands Coffee
96600,2017,Hồ Chí Minh,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
437844,2018,Hồ Chí Minh,Passio,Recommended by others,Passio
446301,2018,Hà Nội,Street / Half street coffee (including carts),Good place for socializing with family,Street / Half street coffee (including carts)
778297,2019,Hải Phòng,Cộng Cà Phê,Good place for working / business meeting,Cộng Cà Phê
451359,2018,Đà Nẵng,Highlands Coffee,Good tea taste,Highlands Coffee
136314,2017,Đà Nẵng,Highlands Coffee,Diversified menu,Highlands Coffee
824800,2019,Hồ Chí Minh,The Coffee House,Good place for working / business meeting,The Coffee House
409695,2018,Hải Phòng,Other 3,Good place for socializing with friends,Other 3
362269,2018,Cần Thơ,Street / Half street coffee (including carts),Good place for socializing with friends,Street / Half street coffee (including carts)
813684,2019,Hồ Chí Minh,Viva Star,Good place for working / business meeting,Viva Star
371503,2018,Hồ Chí Minh,Highlands Coffee,Trusted brand,Highlands Coffee
411316,2018,Hà Nội,Street / Half street coffee (including carts),Comfortable and relaxing environment,Street / Half street coffee (including carts)
799034,2019,Hà Nội,Starbucks,Convenient location,Starbucks
134996,2017,Hà Nội,Other Branded Cafe Chain,Good tea taste,Other Branded Cafe Chain
118244,2017,Hải Phòng,Indepedent Cafe,Nice environment design,Indepedent Cafe
134968,2017,Hà Nội,Saigon Café,Good place for relaxing,Saigon Café
862137,2019,Hồ Chí Minh,Thức Coffee,Trusted brand,Thức Coffee
831785,2019,Hà Nội,Cộng Cà Phê,Have new product regularly,Cộng Cà Phê
120170,2017,Hồ Chí Minh,The Coffee House,Convenient location,The Coffee House
852219,2019,Đà Nẵng,Highlands Coffee,Clean,Highlands Coffee
138603,2017,Hồ Chí Minh,Indepedent Cafe,Clean,Indepedent Cafe
392168,2018,Hồ Chí Minh,Highlands Coffee,Clean,Highlands Coffee
134022,2017,Cần Thơ,KOI cafe,Quick speed of service,KOI cafe
734867,2019,Hồ Chí Minh,Street,Good place for socializing with family,Street
828562,2019,Hồ Chí Minh,The Coffee House,"Good other beverages (other than coffee, tea & ice-blended)",The Coffee House
825704,2019,Hồ Chí Minh,Highlands Coffee,Trusted brand,Highlands Coffee
440069,2018,Nha Trang,Other 1,Clean,Other 1
111452,2017,Hải Phòng,Indepedent Cafe,Comfortable and relaxing environment,Indepedent Cafe
140329,2017,Hà Nội,Urban Station,Good place for working / studying,Urban Station
140059,2017,Hà Nội,Trung Nguyên,Delicious food,Trung Nguyên
825717,2019,Đà Nẵng,Highlands Coffee,Quick speed of service,Highlands Coffee
456584,2018,Hồ Chí Minh,Phúc Long,Comfortable and relaxing environment,Phúc Long
822603,2019,Hà Nội,Cộng Cà Phê,Good music,Cộng Cà Phê
802997,2019,Đà Nẵng,Long Cafe,Friendly staff,Long Cafe
807508,2019,Nha Trang,Trung Nguyên,Friendly staff,Trung Nguyên
802401,2019,Đà Nẵng,Mộc Miên,Good value for money,Mộc Miên
138632,2017,Hà Nội,Trung Nguyên,High speed of internet,Trung Nguyên
828262,2019,Hà Nội,Other,Good tea taste,Other
439012,2018,Hồ Chí Minh,Highlands Coffee,Good place for working / business meeting,Highlands Coffee
834628,2019,Cần Thơ,Other,Friendly staff,Other
726862,2019,Hà Nội,Trung Nguyên,Popular brand,Trung Nguyên
371398,2018,Hà Nội,Urban Station,Have new product regularly,Urban Station
140397,2017,Hà Nội,Highlands Coffee,Good tea taste,Highlands Coffee
423075,2018,Nha Trang,Other 1,Convenient location,Other 1
748678,2019,Hồ Chí Minh,Phúc Long,"Good other beverages (other than coffee, tea & ice-blended)",Phúc Long
137945,2017,Hồ Chí Minh,Trung Nguyên,Popular brand,Trung Nguyên
835106,2019,Hồ Chí Minh,Highlands Coffee,Trusted brand,Highlands Coffee
122036,2017,Hà Nội,Gong Cha,Good place for socializing,Gong Cha
818116,2019,Hà Nội,Highlands Coffee,Recommended by others,Highlands Coffee
763355,2019,Hà Nội,Other,Friendly staff,Other
828409,2019,Hồ Chí Minh,Phúc Long,Good place for socializing with colleagues,Phúc Long
453568,2018,Hồ Chí Minh,Trung Nguyên,Popular brand,Trung Nguyên
352059,2018,Hồ Chí Minh,Highlands Coffee,Good place for socializing with friends,Highlands Coffee
399425,2018,Hồ Chí Minh,Other 1,Good tea taste,Other 1
108221,2017,Cần Thơ,Street / Half street coffee (including carts),Good place for relaxing,Street / Half street coffee (including carts)
368126,2018,Cần Thơ,Other 2,Good place for relaxing,Other 2
816997,2019,Hải Phòng,Highlands Coffee,Popular brand,Highlands Coffee
139023,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
830139,2019,Hồ Chí Minh,Milano,Nice environment design,Milano
440750,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Good place for socializing with colleagues,Street / Half street coffee (including carts)
455537,2018,Nha Trang,Highlands Coffee,Good place for relaxing,Highlands Coffee
138754,2017,Hà Nội,Highlands Coffee,Convenient location,Highlands Coffee
382171,2018,Cần Thơ,Street / Half street coffee (including carts),Feel I belong here,Street / Half street coffee (including carts)
787135,2019,Hà Nội,Trung Nguyên,Comfortable and relaxing environment,Trung Nguyên
798774,2019,Hà Nội,Starbucks,Good place for socializing with colleagues,Starbucks
91852,2017,Hồ Chí Minh,Indepedent Cafe,Good place for socializing,Indepedent Cafe
806474,2019,Đà Nẵng,Trung Nguyên,Trusted brand,Trung Nguyên
366266,2018,Hải Phòng,Trung Nguyên,Trusted brand,Trung Nguyên
797912,2019,Hà Nội,Aha Cafe,Good value for money,Aha Cafe
405433,2018,Hồ Chí Minh,Milano,Good place for socializing with family,Milano
415350,2018,Nha Trang,Other 1,Comfortable and relaxing environment,Other 1
374079,2018,Hải Phòng,Highlands Coffee,Good place for socializing with friends,Highlands Coffee
445299,2018,Hải Phòng,Starbucks,Good place for socializing with family,Starbucks
728149,2019,Hồ Chí Minh,Other,Comfortable and relaxing environment,Other
446216,2018,Cần Thơ,Other 1,Convenient location,Other 1
368577,2018,Đà Nẵng,Long Cafe,High speed of internet,Long Cafe
454704,2018,Hồ Chí Minh,Other 1,Nice environment design,Other 1
803915,2019,Hà Nội,Other,Comfortable and relaxing environment,Other
443325,2018,Nha Trang,Other 1,Clean,Other 1
816356,2019,Nha Trang,Milano,Good music,Milano
136073,2017,Hồ Chí Minh,Trung Nguyên,Good place for working / studying,Trung Nguyên
818468,2019,Hà Nội,Other,Feel I belong here,Other
125797,2017,Hải Phòng,Highlands Coffee,Feel I belong here,Highlands Coffee
122076,2017,Hải Phòng,Trung Nguyên,Clean,Trung Nguyên
455840,2018,Hồ Chí Minh,Highlands Coffee,Good place for socializing with friends,Highlands Coffee
800247,2019,Hồ Chí Minh,The Coffee House,Good music,The Coffee House
137954,2017,Hồ Chí Minh,Indepedent Cafe,Good place for relaxing,Indepedent Cafe
792955,2019,Hà Nội,Aha Cafe,Feel I belong here,Aha Cafe
132474,2017,Cần Thơ,Other Branded Cafe Chain,Good place for socializing,Other Branded Cafe Chain
841650,2019,Cần Thơ,Other,Comfortable and relaxing environment,Other
805234,2019,Hà Nội,Other,Popular brand,Other
445831,2018,Hà Nội,Other 1,Good coffee taste,Other 1
442832,2018,Hà Nội,Urban Station,Recommended by others,Urban Station
420880,2018,Hồ Chí Minh,Highlands Coffee,Clean,Highlands Coffee
456627,2018,Hồ Chí Minh,Street / Half street coffee (including carts),Good place for working / business meeting,Street / Half street coffee (including carts)
111873,2017,Hồ Chí Minh,Gong Cha,Good place for relaxing,Gong Cha
820150,2019,Đà Nẵng,The Coffee House,Nice environment design,The Coffee House
382694,2018,Hà Nội,Urban Station,Friendly staff,Urban Station
761044,2019,Hồ Chí Minh,Highlands Coffee,Popular brand,Highlands Coffee
851829,2019,Đà Nẵng,Mộc Miên,Recommended by others,Mộc Miên
460442,2018,Đà Nẵng,Highlands Coffee,Popular brand,Highlands Coffee
805126,2019,Hồ Chí Minh,Highlands Coffee,Have new product regularly,Highlands Coffee
826468,2019,Hồ Chí Minh,Other,Good place for socializing with colleagues,Other
814673,2019,Hải Phòng,Highlands Coffee,Trusted brand,Highlands Coffee
459693,2018,Hồ Chí Minh,Highlands Coffee,Good coffee taste,Highlands Coffee
435041,2018,Hà Nội,Other 1,Clean,Other 1
810298,2019,Hà Nội,Street,Good value for money,Street
747293,2019,Hà Nội,Cộng Cà Phê,Good tea taste,Cộng Cà Phê
95729,2017,Hồ Chí Minh,Phúc Long,Good tea taste,Phúc Long
817911,2019,Hà Nội,Other,Good place for socializing with friends,Other
405662,2018,Hồ Chí Minh,Other 1,Feel I belong here,Other 1
450796,2018,Hà Nội,Urban Station,Popular brand,Urban Station
410858,2018,Hà Nội,Other 2,"Good other beverages (other than coffee, tea & ice-blended)",Other 2
109995,2017,Hồ Chí Minh,Indepedent Cafe,"Good other beverages (other than coffee, tea & ice-blended)",Indepedent Cafe
845854,2019,Cần Thơ,Thức Coffee,Have new product regularly,Thức Coffee
820578,2019,Hồ Chí Minh,Viva Star,Good music,Viva Star
139997,2017,Hà Nội,Passio,Comfortable and relaxing environment,Passio
98510,2017,Cần Thơ,Indepedent Cafe,Recommended by others,Indepedent Cafe
440428,2018,Nha Trang,Other 1,Comfortable and relaxing environment,Other 1
751792,2019,Hải Phòng,Other,Popular brand,Other
442569,2018,Hồ Chí Minh,Cộng Cà Phê,Trusted brand,Cộng Cà Phê
97496,2017,Hà Nội,Milano,Quick speed of service,Milano
140348,2017,Hà Nội,Trung Nguyên,"Good other beverages (other than coffee, tea & ice-blended)",Trung Nguyên
441214,2018,Hải Phòng,Starbucks,Comfortable and relaxing environment,Starbucks
139991,2017,Hà Nội,Indepedent Cafe,Recommended by others,Indepedent Cafe
119484,2017,Hải Phòng,Indepedent Cafe,Diversified menu,Indepedent Cafe
361905,2018,Cần Thơ,Street / Half street coffee (including carts),Good place for working / business meeting,Street / Half street coffee (including carts)
827058,2019,Hồ Chí Minh,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee
817317,2019,Đà Nẵng,Long Cafe,Clean,Long Cafe
443914,2018,Nha Trang,Street / Half street coffee (including carts),Good coffee taste,Street / Half street coffee (including carts)
138827,2017,Hà Nội,Starbucks,Quick speed of service,Starbucks
411334,2018,Hà Nội,Trung Nguyên,Good coffee taste,Trung Nguyên
135285,2017,Cần Thơ,Indepedent Cafe,Nice environment design,Indepedent Cafe
392738,2018,Cần Thơ,Other 1,Good value for money,Other 1
133996,2017,Đà Nẵng,Milano,High speed of internet,Milano
815099,2019,Hồ Chí Minh,Milano,High speed of internet,Milano
789235,2019,Hồ Chí Minh,Starbucks,Good place for socializing with family,Starbucks
789523,2019,Hồ Chí Minh,The Coffee House,Quick speed of service,The Coffee House
136411,2017,Hà Nội,Street / Half street coffee (including carts),Good place for relaxing,Street / Half street coffee (including carts)
113581,2017,Hồ Chí Minh,Highlands Coffee,Good place for working / studying,Highlands Coffee
841422,2019,Cần Thơ,Highlands Coffee,Clean,Highlands Coffee
797348,2019,Hà Nội,The Coffee House,Good tea taste,The Coffee House
132898,2017,Hải Phòng,Trung Nguyên,"Good other beverages (other than coffee, tea & ice-blended)",Trung Nguyên
372096,2018,Hà Nội,Other 1,Clean,Other 1
115947,2017,Cần Thơ,Indepedent Cafe,High speed of internet,Indepedent Cafe
450806,2018,Hà Nội,Trung Nguyên,Trusted brand,Trung Nguyên
449270,2018,Hà Nội,Other 1,Good tea taste,Other 1
455100,2018,Nha Trang,Highlands Coffee,Clean,Highlands Coffee
789153,2019,Hồ Chí Minh,Street,Good place for socializing with family,Street
791868,2019,Hồ Chí Minh,The Coffee House,Comfortable and relaxing environment,The Coffee House
127250,2017,Đà Nẵng,Coffee Bean & Tea Leaf,Nice environment design,Coffee Bean & Tea Leaf
433332,2018,Hà Nội,Cộng Cà Phê,Trusted brand,Cộng Cà Phê
134937,2017,Hà Nội,Street / Half street coffee (including carts),Comfortable and relaxing environment,Street / Half street coffee (including carts)
797192,2019,Hà Nội,Urban Station,Have new product regularly,Urban Station
829974,2019,Hà Nội,Cộng Cà Phê,Popular brand,Cộng Cà Phê
827902,2019,Cần Thơ,Other,Good tea taste,Other
412643,2018,Cần Thơ,Other 1,Clean,Other 1
122935,2017,Hà Nội,Trung Nguyên,Recommended by others,Trung Nguyên
787289,2019,Hà Nội,The Coffee House,Nice environment design,The Coffee House
459038,2018,Hà Nội,Trung Nguyên,Good place for socializing with friends,Trung Nguyên
453576,2018,Hà Nội,Other 2,Good tea taste,Other 2
123900,2017,Hà Nội,Street / Half street coffee (including carts),Popular brand,Street / Half street coffee (including carts)
835202,2019,Hồ Chí Minh,Other,Have new product regularly,Other
116739,2017,Cần Thơ,Indepedent Cafe,Delicious food,Indepedent Cafe
399416,2018,Hồ Chí Minh,Other 1,Friendly staff,Other 1
850312,2019,Hồ Chí Minh,Starbucks,Popular brand,Starbucks
124185,2017,Hồ Chí Minh,The Coffee House,Good coffee taste,The Coffee House
132938,2017,Đà Nẵng,Gong Cha,Good place for relaxing,Gong Cha
121686,2017,Hà Nội,Highlands Coffee,Nice environment design,Highlands Coffee
127382,2017,Đà Nẵng,Trung Nguyên,Good place for socializing,Trung Nguyên
813155,2019,Hà Nội,Aha Cafe,Feel I belong here,Aha Cafe
119166,2017,Cần Thơ,Indepedent Cafe,Convenient location,Indepedent Cafe
453782,2018,Đà Nẵng,Other 2,Quick speed of service,Other 2
806679,2019,Cần Thơ,Street,Comfortable and relaxing environment,Street
437350,2018,Hồ Chí Minh,Passio,"Good other beverages (other than coffee, tea & ice-blended)",Passio
91490,2017,Hồ Chí Minh,Trung Nguyên,Good music,Trung Nguyên
839735,2019,Hồ Chí Minh,Milano,High speed of internet,Milano
444441,2018,Cần Thơ,Other 3,Quick speed of service,Other 3
433450,2018,Đà Nẵng,Other 1,Good place for socializing with friends,Other 1
443998,2018,Hà Nội,Other 2,Recommended by others,Other 2
138744,2017,Hồ Chí Minh,KOI cafe,Good value for money,KOI cafe
788918,2019,Hà Nội,Urban Station,Comfortable and relaxing environment,Urban Station
843188,2019,Hồ Chí Minh,Street,Good tea taste,Street
449535,2018,Hà Nội,Aha Cafe,Clean,Aha Cafe
135379,2017,Hà Nội,Indepedent Cafe,Good place for relaxing,Indepedent Cafe
799568,2019,Hồ Chí Minh,The Coffee House,Good place for socializing with colleagues,The Coffee House
134819,2017,Đà Nẵng,Indepedent Cafe,Good value for money,Indepedent Cafe
815990,2019,Cần Thơ,Other,Quick speed of service,Other
818018,2019,Đà Nẵng,The Coffee House,Trusted brand,The Coffee House
389760,2018,Hải Phòng,Highlands Coffee,Feel I belong here,Highlands Coffee
439662,2018,Hồ Chí Minh,Coffee Bean & Tea Leaf,Good coffee taste,Coffee Bean & Tea Leaf
455330,2018,Hà Nội,Cộng Cà Phê,High speed of internet,Cộng Cà Phê
133397,2017,Cần Thơ,Other Branded Cafe Chain,Good tea taste,Other Branded Cafe Chain
816112,2019,Hà Nội,Phúc Long,Good place for socializing with colleagues,Phúc Long
825121,2019,Hồ Chí Minh,The Coffee House,Good ice-blended taste,The Coffee House
788931,2019,Hà Nội,Phúc Long,Friendly staff,Phúc Long
445295,2018,Cần Thơ,Other 2,Quick speed of service,Other 2
358031,2018,Cần Thơ,Other 2,Clean,Other 2
134190,2017,Cần Thơ,Trung Nguyên,Good coffee taste,Trung Nguyên
781110,2019,Hà Nội,Highlands Coffee,Nice environment design,Highlands Coffee
446292,2018,Hà Nội,The Coffee House,Good place for relaxing,The Coffee House
793461,2019,Hà Nội,Trung Nguyên,Nice environment design,Trung Nguyên
824557,2019,Hà Nội,Cộng Cà Phê,Good place for socializing with family,Cộng Cà Phê
138533,2017,Hà Nội,Cộng Cà Phê,Good coffee taste,Cộng Cà Phê
447669,2018,Hà Nội,Highlands Coffee,"Good other beverages (other than coffee, tea & ice-blended)",Highlands Coffee
91490,2017,Hồ Chí Minh,Coffee Bean & Tea Leaf,"Good other beverages (other than coffee, tea & ice-blended)",Coffee Bean & Tea Leaf
745139,2019,Hải Phòng,Highlands Coffee,Good music,Highlands Coffee
817899,2019,Hà Nội,Aha Cafe,Popular brand,Aha Cafe
747293,2019,Hà Nội,Starbucks,Quick speed of service,Starbucks
786613,2019,Hà Nội,Highlands Coffee,Nice environment design,Highlands Coffee
765811,2019,Hà Nội,Starbucks,Good place for socializing with friends,Starbucks
122711,2017,Hà Nội,Highlands Coffee,Trusted brand,Highlands Coffee
438000,2018,Hồ Chí Minh,Milano,Good place for relaxing,Milano
416344,2018,Cần Thơ,Other 1,Good place for working / business meeting,Other 1
436342,2018,Nha Trang,Trung Nguyên,Comfortable and relaxing environment,Trung Nguyên
446301,2018,Hà Nội,Other 1,Good music,Other 1
447018,2018,Hà Nội,Highlands Coffee,Popular brand,Highlands Coffee
791751,2019,Hồ Chí Minh,Other,Good place for studying,Other
419975,2018,Nha Trang,Runam cafe,Recommended by others,Runam cafe
451749,2018,Đà Nẵng,Starbucks,Popular brand,Starbucks
812050,2019,Hồ Chí Minh,Cộng Cà Phê,Recommended by others,Cộng Cà Phê
108984,2017,Hà Nội,Trung Nguyên,Recommended by others,Trung Nguyên
805710,2019,Hồ Chí Minh,Phúc Long,Nice environment design,Phúc Long
415478,2018,Cần Thơ,Other 1,Good music,Other 1
432897,2018,Đà Nẵng,Street / Half street coffee (including carts),Quick speed of service,Street / Half street coffee (including carts)
811821,2019,Nha Trang,Milano,Trusted brand,Milano
436610,2018,Nha Trang,Milano,High speed of internet,Milano
456260,2018,Hồ Chí Minh,Highlands Coffee,Popular brand,Highlands Coffee
841379,2019,Hồ Chí Minh,Trung Nguyên,Good music,Trung Nguyên
371738,2018,Hồ Chí Minh,Trung Nguyên,Good place for socializing with colleagues,Trung Nguyên
132798,2017,Hải Phòng,Highlands Coffee,Clean,Highlands Coffee
453400,2018,Hà Nội,Cộng Cà Phê,Good place for socializing with family,Cộng Cà Phê
136068,2017,Hồ Chí Minh,Thức Coffee,Feel I belong here,Thức Coffee
457303,2018,Hồ Chí Minh,The Coffee House,Good place for relaxing,The Coffee House
134442,2017,Hải Phòng,Trung Nguyên,Good place for working / studying,Trung Nguyên
439569,2018,Cần Thơ,Other 1,Trusted brand,Other 1
437259,2018,Hà Nội,Starbucks,"Good other beverages (other than coffee, tea & ice-blended)",Starbucks
444679,2018,Hà Nội,Aha Cafe,Friendly staff,Aha Cafe
140659,2017,Hà Nội,Cộng Cà Phê,Friendly staff,Cộng Cà Phê
